system:index,urban_class,.geo
"4293,1584_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13872888316268,28.46749551641251]}"
"4294,1584_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.15601911062923,28.46749551641251]}"
"4295,1584_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17438997731243,28.46749551641251]}"
"4296,1584_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.19168020477896,28.46749551641251]}"
"4297,1584_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21005107146217,28.46749551641251]}"
"4298,1584_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.22842193814537,28.46749551641251]}"
"4299,1584_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24571216561193,28.46749551641251]}"
"4300,1584_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.26408303229513,28.46749551641251]}"
"4301,1584_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.28245389897833,28.46749551641251]}"
"4302,1584_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.29974412644488,28.46749551641251]}"
"4303,1584_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31811499312808,28.46749551641251]}"
"4304,1584_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33540522059462,28.46749551641251]}"
"4305,1584_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.35377608727784,28.46749551641251]}"
"4306,1584_0",13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.37214695396104,28.46749551641251]}"
"4307,1584_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38943718142758,28.46749551641251]}"
"4308,1584_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.40780804811078,28.46749551641251]}"
"4274,1585_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.79665860453895,28.485334818076595]}"
"4275,1585_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.81503139873355,28.485334818076595]}"
"4276,1585_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.83232344032848,28.485334818076595]}"
"4277,1585_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85069623452308,28.485334818076595]}"
"4278,1585_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.86906902871769,28.485334818076595]}"
"4279,1585_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.8863610703126,28.485334818076595]}"
"4280,1585_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.90473386450721,28.485334818076595]}"
"4281,1585_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.92310665870181,28.485334818076595]}"
"4282,1585_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94039870029673,28.485334818076595]}"
"4283,1585_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95877149449133,28.485334818076595]}"
"4284,1585_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.97606353608626,28.485334818076595]}"
"4285,1585_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.99443633028086,28.485334818076595]}"
"4286,1585_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.01280912447547,28.485334818076595]}"
"4287,1585_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03010116607038,28.485334818076595]}"
"4288,1585_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04847396026499,28.485334818076595]}"
"4289,1585_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.06684675445958,28.485334818076595]}"
